iter	Passed	Remaining
0	147	146913
1	151	75598
2	157	52434
3	162	40438
4	169	33788
5	176	29271
6	184	26148
7	191	23695
8	196	21691
9	202	20035
10	208	18784
11	215	17713
12	219	16698
13	225	15907
14	232	15280
15	237	14624
16	242	14035
17	246	13447
18	253	13082
19	258	12685
20	263	12289
21	270	12032
22	276	11765
23	281	11447
24	288	11253
25	295	11075
26	301	10865
27	308	10705
28	312	10479
29	319	10315
30	323	10116
31	329	9975
32	336	9848
33	340	9685
34	347	9573
35	354	9501
36	360	9370
37	366	9274
38	370	9120
39	376	9026
40	381	8930
41	387	8830
42	393	8763
43	398	8668
44	406	8633
45	415	8624
46	422	8576
47	429	8512
48	436	8478
49	442	8408
50	448	8347
51	456	8325
52	465	8323
53	472	8269
54	478	8228
55	482	8139
56	487	8070
57	494	8023
58	497	7938
59	502	7871
60	509	7848
61	519	7853
62	523	7784
63	530	7763
64	535	7706
65	540	7650
66	546	7607
67	550	7547
68	558	7536
69	564	7497
70	571	7477
71	578	7452
72	582	7399
73	588	7361
74	594	7326
75	598	7277
76	605	7255
77	609	7202
78	617	7199
79	623	7165
80	628	7133
81	633	7094
82	639	7068
83	645	7037
84	650	6998
85	657	6982
86	662	6952
87	667	6916
88	673	6895
89	680	6875
90	684	6840
91	691	6820
92	696	6793
93	700	6755
94	705	6720
95	711	6703
96	716	6666
97	722	6645
98	726	6614
99	733	6603
100	739	6578
101	745	6566
102	749	6530
103	754	6502
104	760	6484
105	765	6457
106	772	6446
107	776	6414
108	780	6380
109	787	6371
110	792	6350
111	798	6327
112	804	6316
113	809	6294
114	814	6267
115	819	6247
116	826	6234
117	833	6229
118	842	6234
119	849	6229
120	855	6215
121	859	6183
122	865	6169
123	870	6148
124	873	6116
125	879	6101
126	884	6080
127	890	6064
128	894	6039
129	898	6014
130	902	5987
131	911	5991
132	916	5974
133	920	5951
134	926	5939
135	931	5917
136	935	5893
137	940	5874
138	945	5856
139	953	5856
140	960	5852
141	966	5839
142	970	5818
143	975	5799
144	981	5784
145	988	5782
146	995	5775
147	1000	5761
148	1005	5744
149	1010	5728
150	1015	5707
151	1018	5681
152	1021	5654
153	1028	5647
154	1035	5645
155	1041	5634
156	1046	5619
157	1049	5590
158	1053	5572
159	1059	5562
160	1068	5568
161	1070	5537
162	1074	5518
163	1077	54921164	1084	5485
165	1090	5481
166	1097	5473
167	1102	5462
168	1104	5431
169	1109	54151170	1117	5417
171	1124	5413
172	1130	5404
173	1136	5393
174	1140	5376
175	1145	5363
176	1150	5350
177	1154	5331
178	1159	5318
179	1161	52901180	1166	52761181	1170	52621182	1175	52471183	1180	52361184	1185	52211185	1190	5211
186	1193	51861187	1196	51691188	1201	51571189	1203	5129190	1225	5192
191	1231	5181
192	1235	5167
193	1240	5155
194	1247	5148
195	1255	5150
196	1261	5140
197	1266	5131
198	1270	5115
199	1275	5102
200	1282	5097
201	1289	5092
202	1293	5079
203	1299	5070
204	1302	5049
205	1305	5033
206	1309	5015
207	1313	4999
208	1316	4980
209	1322	4976
210	1328	4967
211	1333	4956
212	1338	4945
213	1342	4931
214	1347	4918
215	1352	4907
216	1357	4898
217	1361	4883
218	1366	4874
219	1372	4865
220	1374	4846
221	1381	4842
222	1385	4828
223	1390	4818
224	1395	4808
225	1400	4797
226	1406	4790
227	1411	4780
228	1416	4769
229	1421	4758
230	1426	4748
231	1432	4743
232	1438	4733
233	1442	4723
234	1449	4717
235	1455	4710
236	1460	4700
237	1465	4693
238	1472	4687
239	1477	4677
240	1482	4668
241	1488	4662
242	1494	4656
243	1501	4651
244	1505	4638
245	1510	4631
246	1517	4624
247	1521	4613
248	1525	4601
249	1531	4593
250	1536	4586
251	1541	4576
252	1545	4564
253	1550	4552
254	1553	4538
255	1559	4532
256	1564	4521
257	1569	4514
258	1574	4503
259	1579	4494
260	1582	4481
261	1590	4479
262	1594	4469
263	1598	4457
264	1602	4444
265	1607	4436
266	1611	4424
267	1616	4416
268	1620	4404
269	1625	4395
270	1630	4386
271	1634	4374
272	1638	4363
273	1642	4352
274	1648	4345
275	1653	4336
276	1659	4330
277	1663	4319
278	1669	4313
279	1673	4304
280	1679	4297
281	1684	4289
282	1689	4281
283	1695	4275
284	1701	4268
285	1705	4257
286	1710	4250
287	1716	4242
288	1721	4234
289	1726	4227
290	1731	4219
291	1736	4210
292	1742	4204
293	1747	4195
294	1753	4189
295	1757	4180
296	1763	4173
297	1768	4166
298	1773	4158
299	1778	4149
300	1784	4144
301	1788	4133
302	1794	4128
303	1799	4119
304	1805	4114
305	1810	4107
306	1814	4095
307	1818	4086
308	1824	4079
309	1829	4071
310	1833	4062
311	1837	4052
312	1842	4043
313	1846	4034
314	1850	4024
315	1857	4021
316	1861	4011
317	1865	4001
318	1870	3994
319	1876	3988
320	1881	3980
321	1886	3972
322	1890	3961
323	1894	3953
324	1899	3944
325	1905	3939
326	1909	3929
327	1916	3925
328	1920	3916
329	1926	3910
330	1929	3900
331	1934	3893
332	1939	3884
333	1946	3881
334	1951	3874
335	1955	3865
336	1961	3858
337	1968	3854
338	1972	3846
339	1978	3839
340	1983	3832
341	1988	3825
342	1992	3815
343	1996	3808
344	2002	3802
345	2007	3794
346	2012	3787
347	2017	3779
348	2021	3770
349	2025	3762
350	2031	3756
351	2036	3749
352	2042	3743
353	2048	3737
354	2055	3735
355	2062	3730
356	2068	3724
357	2074	3720
358	2080	3714
359	2084	3706
360	2090	3700
361	2094	3691
362	2099	3683
363	2103	3675
364	2108	3667
365	2113	3661
366	2117	3652
367	2122	3645
368	2127	3638
369	2133	3632
370	2137	3624
371	2143	3618
372	2147	3610
373	2151	3601
374	2155	3593
375	2160	3584
376	2164	3577
377	2167	3567
378	2172	3560
379	2177	3552
380	2182	3546
381	2188	3540
382	2194	3535
383	2199	3527
384	2204	3521
385	2209	3515
386	2213	3505
387	2217	3497
388	2222	3490
389	2226	3483
390	2232	3476
391	2236	3469
392	2241	3462
393	2247	3457
394	2252	3450
395	2258	3444
396	2262	3435
397	2266	3428
398	2272	3422
399	2279	3419
400	2284	3412
401	2289	3405
402	2295	3400
403	2302	3396
404	2306	3387
405	2310	3380
406	2317	3376
407	2324	3372
408	2329	3365
409	2333	3357
410	2339	3352
411	2345	3346
412	2350	3340
413	2355	3333
414	2360	3327
415	2365	3320
416	2370	3314
417	2375	3306
418	2380	3301
419	2385	3293
420	2389	3286
421	2393	3278
422	2397	3270
423	2400	3261
424	2405	3254
425	2409	3247
426	2415	3241
427	2419	3233
428	2424	3227
429	2430	3221
430	2435	3215
431	2439	3207
432	2445	3202
433	2452	3198
434	2459	3194
435	2464	3188
436	2469	3181
437	2475	3176
438	2479	3169
439	2484	3162
440	2490	3157
441	2497	3152
442	2502	3146
443	2507	3140
444	2512	3133
445	2517	3127
446	2523	3121
447	2532	3119
448	2539	3116
449	2546	3112
450	2551	3106
451	2557	3100
452	2563	3095
453	2567	3088
454	2573	3082
455	2578	3075
456	2583	3069
457	2588	3063
458	2593	3056
459	2598	3050
460	2605	3046
461	2610	3040
462	2615	3033
463	2620	3027
464	2628	3024
465	2636	3021
466	2642	3015
467	2646	3008
468	2651	3001
469	2656	2995
470	2662	2990
471	2668	2984
472	2673	2978
473	2677	2971
474	2685	2967
475	2690	2961
476	2694	2954
477	2699	2948
478	2704	2941
479	2710	2936
480	2716	2931
481	2722	2925
482	2726	2918
483	2730	2911
484	2739	2908
485	2745	2903
486	2749	2896
487	2757	2892
488	2763	2887
489	2768	2881
490	2773	2874
491	2778	2869
492	2783	2862
493	2789	2857
494	2795	2851
495	2803	2848
496	2808	2842
497	2814	2837
498	2820	2831
499	2827	2827
500	2833	2822
501	2841	2819
502	2848	2814
503	2854	2808
504	2861	2804
505	2869	2801
506	2875	2795
507	2879	2789
508	2886	2784
509	2893	2780
510	2898	2773
511	2903	2767
512	2909	2762
513	2913	2754
514	2917	2747
515	2924	2742
516	2929	2736
517	2935	2731
518	2940	2724
519	2943	2717
520	2949	2711
521	2953	2704
522	2958	2698
523	2966	2694
524	2970	2687
525	2975	2681
526	2981	2676
527	2986	2670
528	2993	2665
529	2998	2659
530	3004	2653
531	3009	2647
532	3014	2641
533	3019	2634
534	3025	2629
535	3030	2623
536	3035	2617
537	3039	2610
538	3044	2604
539	3048	2597
540	3054	2591
541	3058	2584
542	3064	2578
543	3069	2572
544	3074	2566
545	3079	2560
546	3085	2555
547	3089	2548
548	3094	2542
549	3100	2536
550	3104	2530
551	3109	2523
552	3114	2517
553	3120	2511
554	3125	2505
555	3129	2498
556	3135	2493
557	3140	2487
558	3144	2480
559	3149	2474
560	3154	2468
561	3160	2463
562	3166	2457
563	3170	2451
564	3177	2446
565	3181	2439
566	3188	2434
567	3192	2427
568	3197	2421
569	3200	2414
570	3206	2409
571	3212	2403
572	3217	2397
573	3221	2390
574	3226	2385
575	3232	2379
576	3239	2375
577	3245	2369
578	3250	2363
579	3255	2357
580	3260	2351
581	3265	2345
582	3269	2338
583	3274	2332
584	3279	2326
585	3286	2321
586	3290	2315
587	3295	2309
588	3301	2303
589	3305	2297
590	3311	2291
591	3318	2286
592	3323	2281
593	3331	2276
594	3336	2271
595	3343	2266
596	3350	2261
597	3356	2256
598	3361	2250
599	3366	2244
600	3372	2239
601	3378	2233
602	3385	2228
603	3389	2222
604	3396	2217
605	3402	2212
606	3408	2206
607	3413	2200
608	3418	2194
609	3423	2189
610	3429	2183
611	3434	2177
612	3439	2171
613	3445	2165
614	3449	2159
615	3453	2152
616	3459	2147
617	3464	2141
618	3469	2135
619	3474	2129
620	3478	2122
621	3481	2115
622	3489	2111
623	3494	2105
624	3500	2100
625	3504	2093
626	3508	2087
627	3512	2080
628	3517	2074
629	3523	2069
630	3528	2063
631	3533	2057
632	3537	2050
633	3542	2044
634	3546	2038
635	3551	2032
636	3556	2026
637	3562	2021
638	3566	2015
639	3573	2010
640	3579	2004
641	3584	1999
642	3588	1992
643	3593	1986
644	3598	1980
645	3603	1974
646	3608	1968
647	3613	1962
648	3617	1956
649	3623	1950
650	3628	1945
651	3635	1940
652	3641	1934
653	3647	1929
654	3652	1923
655	3657	1918
656	3664	1912
657	3669	1907
658	3673	1900
659	3680	1896
660	3685	1890
661	3689	1883
662	3695	1878
663	3701	1873
664	3706	1867
665	3712	1861
666	3718	1856
667	3724	1851
668	3729	1845
669	3733	1838
670	3738	1832
671	3743	1827
672	3747	1821
673	3751	1814
674	3757	1809
675	3764	1804
676	3769	1798
677	3772	1791
678	3778	1786
679	3782	1779
680	3785	1773
681	3790	1767
682	3796	1761
683	3801	1756
684	3806	1750
685	3812	1745
686	3817	1739
687	3824	1734
688	3829	1728
689	3835	1723
690	3839	1716
691	3844	1711
692	3848	1704
693	3854	1699
694	3859	1693
695	3864	1687
696	3869	1681
697	3874	1676
698	3880	1670
699	3885	1665
700	3892	1660
701	3898	1654
702	3903	1649
703	3908	1643
704	3912	1637
705	3918	1631
706	3923	1626
707	3928	1620
708	3932	1614
709	3938	1608
710	3943	1602
711	3948	1597
712	3954	1591
713	3959	1585
714	3965	1580
715	3969	1574
716	3976	1569
717	3980	1563
718	3986	1557
719	3991	1552
720	3998	1547
721	4002	1541
722	4006	1534
723	4012	1529
724	4015	1523
725	4022	1518
726	4027	1512
727	4032	1506
728	4038	1501
729	4045	1496
730	4050	1490
731	4056	1485
732	4063	1480
733	4068	1474
734	4074	1469
735	4081	1463
736	4085	1457
737	4089	1451
738	4093	1445
739	4099	1440
740	4104	1434
741	4108	1428
742	4112	1422
743	4116	1416
744	4121	1410
745	4127	1405
746	4132	1399
747	4139	1394
748	4143	1388
749	4147	1382
750	4152	1376
751	4156	1370
752	4161	1365
753	4168	1359
754	4174	1354
755	4179	1349
756	4184	1343
757	4188	1337
758	4194	1331
759	4204	1327
760	4211	1322
761	4216	1317
762	4221	1311
763	4228	1306
764	4232	1300
765	4237	1294
766	4241	1288
767	4249	1283
768	4255	1278
769	4259	1272
770	4265	1266
771	4270	1261
772	4275	1255
773	4280	1249
774	4284	1244
775	4291	1238
776	4299	1234
777	4304	1228
778	4310	1222
779	4318	1217
780	4322	1212
781	4330	1207
782	4336	1201
783	4343	1196
784	4349	1191
785	4354	1185
786	4361	1180
787	4366	1174
788	4372	1169
789	4378	1163
790	4383	1158
791	4388	1152
792	4396	1147
793	4401	1141
794	4404	1135
795	4408	1129
796	4413	1124
797	4418	1118
798	4424	1113
799	4429	1107
800	4434	1101
801	4439	1095
802	4444	1090
803	4451	1085
804	4457	1079
805	4466	1075
806	4474	1070
807	4479	1064
808	4483	1058
809	4489	1053
810	4495	1047
811	4501	1042
812	4506	1036
813	4510	1030
814	4516	1025
815	4522	1019
816	4528	1014
817	4533	1008
818	4538	1003
819	4544	997
820	4550	992
821	4556	986
822	4560	980
823	4566	975
824	4572	969
825	4576	964
826	4583	958
827	4589	953
828	4596	948
829	4600	942
830	4608	937
831	4613	931
832	4617	925
833	4622	920
834	4627	914
835	4631	908
836	4637	903
837	4642	897
838	4647	891
839	4652	886
840	4657	880
841	4662	874
842	4669	869
843	4674	864
844	4679	858
845	4683	852
846	4686	846
847	4693	841
848	4697	835
849	4702	829
850	4706	824
851	4712	818
852	4717	813
853	4722	807
854	4728	801
855	4735	796
856	4742	791
857	4746	785
858	4751	779
859	4757	774
860	4763	769
861	4768	763
862	4775	758
863	4779	752
864	4783	746
865	4789	741
866	4793	735
867	4797	729
868	4803	724
869	4808	718
870	4813	712
871	4818	707
872	4824	701
873	4829	696
874	4834	690
875	4838	684
876	4844	679
877	4847	673
878	4855	668
879	4860	662
880	4867	657
881	4873	651
882	4878	646
883	4886	641
884	4891	635
885	4896	630
886	4902	624
887	4907	618
888	4912	613
889	4917	607
890	4924	602
891	4928	596
892	4932	591
893	4937	585
894	4942	579
895	4947	574
896	4952	568
897	4958	563
898	4964	557
899	4969	552
900	4973	546
901	4978	540
902	4983	535
903	4989	529
904	4995	524
905	5001	518
906	5007	513
907	5013	507
908	5018	502
909	5022	496
910	5028	491
911	5033	485
912	5039	480
913	5045	474
914	5051	469
915	5055	463
916	5059	457
917	5064	452
918	5069	446
919	5074	441
920	5080	435
921	5085	430
922	5089	424
923	5095	419
924	5102	413
925	5107	408
926	5113	402
927	5118	397
928	5123	391
929	5129	386
930	5134	380
931	5139	374
932	5145	369
933	5148	363
934	5153	358
935	5160	352
936	5166	347
937	5171	341
938	5176	336
939	5181	330
940	5187	325
941	5194	319
942	5201	314
943	5204	308
944	5208	303
945	5214	297
946	5219	292
947	5224	286
948	5229	281
949	5234	275
950	5238	269
951	5242	264
952	5246	258
953	5252	253
954	5259	247
955	5266	242
956	5270	236
957	5274	231
958	5281	225
959	5288	220
960	5291	214
961	5297	209
962	5301	203
963	5308	198
964	5312	192
965	5316	187
966	5320	181
967	5326	176
968	5333	170
969	5340	165
970	5345	159
971	5348	154
972	5354	148
973	5358	143
974	5362	137
975	5366	131
976	5371	126
977	5374	120
978	5377	115
979	5384	109
980	5388	104
981	5391	98
982	5395	93
983	5398	87
984	5400	82
985	5403	76
986	5408	71
987	5411	65
988	5416	60
989	5426	54
990	5431	49
991	5434	43
992	5437	38
993	5440	32
994	5443	27
995	5445	21
996	5448	16
997	5451	10
998	5454	5
999	5456	0
