2024-03-19 22:59:04,913 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-19 22:59:04,914 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Configure stats pid to 17168
2024-03-19 22:59:04,914 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Loading settings from C:\Users\user\.config\wandb\settings
2024-03-19 22:59:04,914 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Loading settings from D:\001.Developement of Company Work\Code_Example\AutoTuning\master_ver2\wandb\settings
2024-03-19 22:59:04,914 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-19 22:59:04,914 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-19 22:59:04,915 INFO    MainThread:17168 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'plot_tools.py', 'program_abspath': 'D:\\001.Developement of Company Work\\Code_Example\\AutoTuning\\master_ver2\\plot_tools.py', 'program': 'D:\\001.Developement of Company Work\\Code_Example\\AutoTuning\\master_ver2\\plot_tools.py'}
2024-03-19 22:59:04,915 INFO    MainThread:17168 [wandb_init.py:_log_setup():526] Logging user logs to .\wandb\run-20240319_225904-ice1rmfc\logs\debug.log
2024-03-19 22:59:04,916 INFO    MainThread:17168 [wandb_init.py:_log_setup():527] Logging internal logs to .\wandb\run-20240319_225904-ice1rmfc\logs\debug-internal.log
2024-03-19 22:59:04,916 INFO    MainThread:17168 [wandb_init.py:init():566] calling init triggers
2024-03-19 22:59:04,916 INFO    MainThread:17168 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-19 22:59:04,916 INFO    MainThread:17168 [wandb_init.py:init():616] starting backend
2024-03-19 22:59:04,916 INFO    MainThread:17168 [wandb_init.py:init():620] setting up manager
2024-03-19 22:59:04,921 INFO    MainThread:17168 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-19 22:59:04,930 INFO    MainThread:17168 [wandb_init.py:init():628] backend started and connected
2024-03-19 22:59:04,949 INFO    MainThread:17168 [wandb_init.py:init():720] updated telemetry
2024-03-19 22:59:04,955 INFO    MainThread:17168 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-19 22:59:06,596 INFO    MainThread:17168 [wandb_run.py:_on_init():2262] communicating current version
2024-03-19 22:59:07,654 INFO    MainThread:17168 [wandb_run.py:_on_init():2271] got version response 
2024-03-19 22:59:07,654 INFO    MainThread:17168 [wandb_init.py:init():804] starting run threads in backend
2024-03-19 22:59:08,137 INFO    MainThread:17168 [wandb_run.py:_console_start():2241] atexit reg
2024-03-19 22:59:08,137 INFO    MainThread:17168 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-19 22:59:08,138 INFO    MainThread:17168 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-19 22:59:08,138 INFO    MainThread:17168 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-19 22:59:08,138 INFO    MainThread:17168 [wandb_init.py:init():847] run started, returning control to user process
